,vehicle_count,average_speed,lane_occupancy,flow_rate,time_of_day,waiting_time
0,54,10.21610043,59.92021794,1467,evening,12.52445765
1,75,63.64215981,87.6348213,1098,afternoon,44.82814244
2,95,37.38076004,0.765823053,1411,night,80.4384258
3,87,59.81208648,75.96124577,892,evening,11.2636874
4,38,48.43182061,43.52847751,949,night,18.1415487
5,36,62.27968757,12.40601639,1223,evening,2.7474296
6,96,49.78069794,58.24577392,712,morning,10.47995171
7,87,25.05420155,53.26149236,779,morning,23.70577739
8,69,17.80728789,84.23080381,714,evening,5.960409563
9,110,23.06913055,52.15627431,831,evening,23.10101339
10,111,27.73434101,82.73518701,1452,night,11.25744586
11,113,58.76765275,54.44892462,938,night,138.2997854
12,98,69.20409835,44.69455833,1389,evening,14.13431018
13,117,43.77437406,37.11839007,904,evening,1.195181422
14,95,32.07551206,17.36974382,609,night,19.21404437
15,33,50.60977629,58.40308804,941,evening,12.19496153
16,71,10.52806537,54.42502855,892,morning,13.86241981
17,106,62.3855238,97.57396516,1237,night,13.88648293
18,99,48.56982857,41.24088008,1420,morning,63.90187873
19,39,51.47436948,42.15232631,1216,night,20.69046981
20,73,39.26742605,16.3871385,602,evening,8.744318623
21,104,37.52275903,59.75715546,748,afternoon,47.1792334
22,37,17.01234834,84.7852269,1440,night,17.5797577
23,119,67.35718396,24.79231646,902,night,4.71209245
24,106,24.79368334,0.907790065,1121,afternoon,195.0351553
25,99,35.58340461,69.14736233,883,afternoon,0.832169688
26,63,31.04324124,3.137379165,578,morning,37.05708224
27,68,66.65677472,40.92762993,891,evening,56.42883399
28,121,38.31368241,61.27103377,1255,afternoon,13.10000467
29,54,69.26811894,38.60117171,746,night,5.135872411
30,54,61.65861015,26.05782162,521,afternoon,17.21072578
31,44,31.1135833,79.9266508,917,afternoon,19.76104896
32,35,47.97702801,30.09331981,573,evening,243.7055853
33,100,16.0685348,18.00467933,1106,evening,0.589728696
34,44,57.98997972,38.8396705,517,morning,32.00328918
35,79,36.89195656,13.16649001,1412,evening,48.95797243
36,112,28.87689187,69.0396978,1276,morning,28.86251033
37,64,44.5247688,71.00804155,1454,afternoon,29.82200905
38,102,40.71895162,1.477859313,884,morning,62.45794608
39,87,55.65315578,69.48664925,521,morning,24.9840345
40,129,87.99839187,29.89873396,650,evening,64.00688527
41,127,76.45067913,65.62035939,829,afternoon,7.07872914
42,106,26.12585656,70.64840359,515,morning,21.7777137
43,120,80.70510299,27.77814269,719,afternoon,1.025200564
44,56,50.93596283,18.53856066,1139,night,48.81026494
45,84,0,82.63589218,1166,night,45.05581084
46,40,45.45642279,73.91842794,765,night,23.23331398
47,76,18.83897219,83.71423399,825,afternoon,15.11664852
48,51,41.23842537,43.57198732,550,night,13.8664022
49,66,88.1716641,45.63687849,761,evening,6.735929143
50,70,23.79057517,34.41671683,866,afternoon,16.75268314
51,80,23.20227936,49.90624639,1268,night,10.86825783
52,78,48.03175505,64.65700551,1380,night,25.85916317
53,60,33.64683547,81.45449345,1468,morning,46.32120848
54,56,44.88835719,18.31706355,1486,afternoon,35.53850669
55,52,52.17397295,40.54176305,743,night,21.643638
56,30,20.38696882,46.12016364,939,afternoon,89.04567001
57,105,54.56748611,48.79945501,958,afternoon,6.594121157
58,118,34.77676815,54.19729095,655,evening,30.64729361
59,89,71.44331698,80.17472543,720,night,2.764844276
60,85,32.52893136,88.62505787,1425,evening,33.53505524
61,98,35.77498471,15.91576694,1272,night,38.76618379
62,42,31.37574977,71.26818415,1319,afternoon,45.78282814
63,40,41.71399296,47.91082459,627,afternoon,32.69788821
64,74,21.17546725,41.77167127,698,afternoon,3.92451527
65,74,60.44254652,11.33431591,703,afternoon,1.359100687
66,50,39.45509962,6.413575155,901,night,37.58035817
